Model,MDO3014
Firmware Version,1.14

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,2
Horizontal Delay,0
Sample Interval,0.002
Record Length,10000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,2
Vertical Position,-2.98
,
,
,
Label,
TIME,CH1
-1.000000e+01,0.2
-9.998000e+00,0.28
-9.996000e+00,0.28
-9.994000e+00,0.28
-9.992000e+00,0.28
-9.990000e+00,0.2
-9.988000e+00,0.28
-9.986000e+00,0.2
-9.984000e+00,0.28
-9.982000e+00,0.28
-9.980000e+00,0.28
-9.978000e+00,0.28
-9.976000e+00,0.28
-9.974000e+00,0.2
-9.972000e+00,0.2
-9.970000e+00,0.2
-9.968000e+00,0.28
-9.966000e+00,0.28
-9.964000e+00,0.2
-9.962000e+00,0.28
-9.960000e+00,0.28
-9.958000e+00,0.2
-9.956000e+00,0.28
-9.954000e+00,0.2
-9.952000e+00,0.28
-9.950000e+00,0.2
-9.948000e+00,0.28
-9.946000e+00,0.2
-9.944000e+00,0.36
-9.942000e+00,0.28
-9.940000e+00,0.28
-9.938000e+00,0.2
-9.936000e+00,0.28
-9.934000e+00,0.2
-9.932000e+00,0.2
-9.930000e+00,0.28
-9.928000e+00,0.28
-9.926000e+00,0.28
-9.924000e+00,0.2
-9.922000e+00,0.28
-9.920000e+00,0.2
-9.918000e+00,0.2
-9.916000e+00,0.28
-9.914000e+00,0.28
-9.912000e+00,0.2
-9.910000e+00,0.28
-9.908000e+00,0.36
-9.906000e+00,0.2
-9.904000e+00,0.2
-9.902000e+00,0.2
-9.900000e+00,0.28
-9.898000e+00,0.28
-9.896000e+00,0.28
-9.894000e+00,0.28
-9.892000e+00,0.2
-9.890000e+00,0.28
-9.888000e+00,0.2
-9.886000e+00,0.28
-9.884000e+00,0.2
-9.882000e+00,0.28
-9.880000e+00,0.28
-9.878000e+00,0.28
-9.876000e+00,0.28
-9.874000e+00,0.28
-9.872000e+00,0.2
-9.870000e+00,0.36
-9.868000e+00,0.28
-9.866000e+00,0.28
-9.864000e+00,0.2
-9.862000e+00,0.2
-9.860000e+00,0.28
-9.858000e+00,0.28
-9.856000e+00,0.28
-9.854000e+00,0.2
-9.852000e+00,0.2
-9.850000e+00,0.2
-9.848000e+00,0.28
-9.846000e+00,0.2
-9.844000e+00,0.28
-9.842000e+00,0.2
-9.840000e+00,0.28
-9.838000e+00,0.2
-9.836000e+00,0.28
-9.834000e+00,0.28
-9.832000e+00,0.12
-9.830000e+00,0.28
-9.828000e+00,0.28
-9.826000e+00,0.2
-9.824000e+00,0.2
-9.822000e+00,0.28
-9.820000e+00,0.28
-9.818000e+00,0.2
-9.816000e+00,0.36
-9.814000e+00,0.28
-9.812000e+00,0.2
-9.810000e+00,0.36
-9.808000e+00,0.28
-9.806000e+00,0.28
-9.804000e+00,0.2
-9.802000e+00,0.2
-9.800000e+00,0.2
-9.798000e+00,0.36
-9.796000e+00,0.2
-9.794000e+00,0.28
-9.792000e+00,0.2
-9.790000e+00,0.28
-9.788000e+00,0.28
-9.786000e+00,0.28
-9.784000e+00,0.2
-9.782000e+00,0.28
-9.780000e+00,0.2
-9.778000e+00,0.28
-9.776000e+00,0.2
-9.774000e+00,0.28
-9.772000e+00,0.2
-9.770000e+00,0.2
-9.768000e+00,0.2
-9.766000e+00,0.28
-9.764000e+00,0.28
-9.762000e+00,0.2
-9.760000e+00,0.28
-9.758000e+00,0.2
-9.756000e+00,0.36
-9.754000e+00,0.2
-9.752000e+00,0.28
-9.750000e+00,0.2
-9.748000e+00,0.2
-9.746000e+00,0.2
-9.744000e+00,0.2
-9.742000e+00,0.12
-9.740000e+00,0.2
-9.738000e+00,0.2
-9.736000e+00,0.12
-9.734000e+00,0.2
-9.732000e+00,0.28
-9.730000e+00,0.28
-9.728000e+00,0.2
-9.726000e+00,0.28
-9.724000e+00,0.28
-9.722000e+00,0.28
-9.720000e+00,0.2
-9.718000e+00,0.28
-9.716000e+00,0.2
-9.714000e+00,0.2
-9.712000e+00,0.2
-9.710000e+00,0.36
-9.708000e+00,0.2
-9.706000e+00,0.2
-9.704000e+00,0.2
-9.702000e+00,0.28
-9.700000e+00,0.2
-9.698000e+00,0.28
-9.696000e+00,0.28
-9.694000e+00,0.28
-9.692000e+00,0.28
-9.690000e+00,0.2
-9.688000e+00,0.28
-9.686000e+00,0.2
-9.684000e+00,0.28
-9.682000e+00,0.28
-9.680000e+00,0.28
-9.678000e+00,0.2
-9.676000e+00,0.28
-9.674000e+00,0.28
-9.672000e+00,0.2
-9.670000e+00,0.2
-9.668000e+00,0.2
-9.666000e+00,0.2
-9.664000e+00,0.2
-9.662000e+00,0.28
-9.660000e+00,0.28
-9.658000e+00,0.2
-9.656000e+00,0.2
-9.654000e+00,0.28
-9.652000e+00,0.28
-9.650000e+00,0.28
-9.648000e+00,0.2
-9.646000e+00,0.28
-9.644000e+00,0.28
-9.642000e+00,0.12
-9.640000e+00,0.28
-9.638000e+00,0.2
-9.636000e+00,0.36
-9.634000e+00,0.2
-9.632000e+00,0.28
-9.630000e+00,0.28
-9.628000e+00,0.2
-9.626000e+00,0.2
-9.624000e+00,0.36
-9.622000e+00,0.28
-9.620000e+00,0.28
-9.618000e+00,0.2
-9.616000e+00,0.28
-9.614000e+00,0.2
-9.612000e+00,0.2
-9.610000e+00,0.12
-9.608000e+00,0.28
-9.606000e+00,0.28
-9.604000e+00,0.2
-9.602000e+00,0.28
-9.600000e+00,0.28
-9.598000e+00,0.28
-9.596000e+00,0.2
-9.594000e+00,0.2
-9.592000e+00,0.2
-9.590000e+00,0.28
-9.588000e+00,0.28
-9.586000e+00,0.2
-9.584000e+00,0.2
-9.582000e+00,0.2
-9.580000e+00,0.2
-9.578000e+00,0.2
-9.576000e+00,0.28
-9.574000e+00,0.28
-9.572000e+00,0.28
-9.570000e+00,0.28
-9.568000e+00,0.36
-9.566000e+00,0.2
-9.564000e+00,0.28
-9.562000e+00,0.2
-9.560000e+00,0.2
-9.558000e+00,0.28
-9.556000e+00,0.28
-9.554000e+00,0.2
-9.552000e+00,0.28
-9.550000e+00,0.28
-9.548000e+00,0.28
-9.546000e+00,0.28
-9.544000e+00,0.12
-9.542000e+00,0.2
-9.540000e+00,0.2
-9.538000e+00,0.2
-9.536000e+00,0.12
-9.534000e+00,0.2
-9.532000e+00,0.28
-9.530000e+00,0.28
-9.528000e+00,0.36
-9.526000e+00,0.28
-9.524000e+00,0.28
-9.522000e+00,0.28
-9.520000e+00,0.28
-9.518000e+00,0.2
-9.516000e+00,0.2
-9.514000e+00,0.2
-9.512000e+00,0.2
-9.510000e+00,0.2
-9.508000e+00,0.28
-9.506000e+00,0.28
-9.504000e+00,0.28
-9.502000e+00,0.28
-9.500000e+00,0.28
-9.498000e+00,0.2
-9.496000e+00,0.2
-9.494000e+00,0.2
-9.492000e+00,0.2
-9.490000e+00,0.28
-9.488000e+00,0.2
-9.486000e+00,11.64
-9.484000e+00,11.64
-9.482000e+00,11.64
-9.480000e+00,11.72
-9.478000e+00,11.64
-9.476000e+00,11.64
-9.474000e+00,11.56
-9.472000e+00,11.72
-9.470000e+00,11.72
-9.468000e+00,11.72
-9.466000e+00,11.64
-9.464000e+00,11.72
-9.462000e+00,11.56
-9.460000e+00,11.64
-9.458000e+00,11.64
-9.456000e+00,11.64
-9.454000e+00,11.56
-9.452000e+00,11.64
-9.450000e+00,11.64
-9.448000e+00,11.64
-9.446000e+00,11.64
-9.444000e+00,11.64
-9.442000e+00,11.64
-9.440000e+00,11.64
-9.438000e+00,11.64
-9.436000e+00,11.64
-9.434000e+00,11.64
-9.432000e+00,11.64
-9.430000e+00,11.64
-9.428000e+00,11.64
-9.426000e+00,11.72
-9.424000e+00,11.64
-9.422000e+00,11.64
-9.420000e+00,11.64
-9.418000e+00,11.56
-9.416000e+00,11.64
-9.414000e+00,11.64
-9.412000e+00,11.64
-9.410000e+00,11.72
-9.408000e+00,11.72
-9.406000e+00,11.64
-9.404000e+00,11.64
-9.402000e+00,11.56
-9.400000e+00,11.64
-9.398000e+00,11.72
-9.396000e+00,11.64
-9.394000e+00,11.72
-9.392000e+00,11.72
-9.390000e+00,11.72
-9.388000e+00,11.72
-9.386000e+00,11.64
-9.384000e+00,11.64
-9.382000e+00,11.56
-9.380000e+00,11.64
-9.378000e+00,11.64
-9.376000e+00,11.72
-9.374000e+00,11.64
-9.372000e+00,11.64
-9.370000e+00,11.72
-9.368000e+00,11.64
-9.366000e+00,11.64
-9.364000e+00,11.64
-9.362000e+00,11.56
-9.360000e+00,11.8
-9.358000e+00,11.64
-9.356000e+00,11.56
-9.354000e+00,11.64
-9.352000e+00,11.64
-9.350000e+00,11.72
-9.348000e+00,11.64
-9.346000e+00,11.72
-9.344000e+00,11.56
-9.342000e+00,11.64
-9.340000e+00,11.64
-9.338000e+00,11.64
-9.336000e+00,11.64
-9.334000e+00,11.72
-9.332000e+00,11.64
-9.330000e+00,11.64
-9.328000e+00,11.72
-9.326000e+00,11.72
-9.324000e+00,11.72
-9.322000e+00,11.64
-9.320000e+00,11.64
-9.318000e+00,11.64
-9.316000e+00,11.64
-9.314000e+00,11.64
-9.312000e+00,11.56
-9.310000e+00,11.64
-9.308000e+00,11.64
-9.306000e+00,11.72
-9.304000e+00,11.64
-9.302000e+00,11.56
-9.300000e+00,11.72
-9.298000e+00,11.72
-9.296000e+00,11.72
-9.294000e+00,11.72
-9.292000e+00,11.64
-9.290000e+00,11.64
-9.288000e+00,11.64
-9.286000e+00,11.64
-9.284000e+00,11.64
-9.282000e+00,11.72
-9.280000e+00,11.72
-9.278000e+00,11.72
-9.276000e+00,11.64
-9.274000e+00,11.64
-9.272000e+00,11.64
-9.270000e+00,11.56
-9.268000e+00,11.72
-9.266000e+00,11.72
-9.264000e+00,11.72
-9.262000e+00,11.72
-9.260000e+00,11.72
-9.258000e+00,11.64
-9.256000e+00,11.56
-9.254000e+00,11.64
-9.252000e+00,11.64
-9.250000e+00,11.64
-9.248000e+00,11.64
-9.246000e+00,11.64
-9.244000e+00,11.64
-9.242000e+00,11.64
-9.240000e+00,11.64
-9.238000e+00,11.56
-9.236000e+00,11.72
-9.234000e+00,11.64
-9.232000e+00,11.64
-9.230000e+00,11.64
-9.228000e+00,11.64
-9.226000e+00,11.56
-9.224000e+00,11.64
-9.222000e+00,11.64
-9.220000e+00,11.64
-9.218000e+00,11.56
-9.216000e+00,11.64
-9.214000e+00,11.64
-9.212000e+00,11.64
-9.210000e+00,11.64
-9.208000e+00,11.64
-9.206000e+00,11.64
-9.204000e+00,11.64
-9.202000e+00,11.64
-9.200000e+00,11.64
-9.198000e+00,11.64
