Model,MDO3014
Firmware Version,1.14

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,2,
Horizontal Delay,0,
Sample Interval,0.002,
Record Length,10000,
Gating,0.0% to 100.0%,
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,2,2
Vertical Position,-2.98,-2.98
,,
,,
,,
Label,,
TIME,CH1,CH2
-1.000000e+01,nan,nan
-9.998000e+00,nan,nan
-9.996000e+00,nan,nan
-9.994000e+00,nan,nan
-9.992000e+00,nan,nan
-9.990000e+00,nan,nan
-9.988000e+00,nan,nan
-9.986000e+00,nan,nan
-9.984000e+00,nan,nan
-9.982000e+00,nan,nan
-9.980000e+00,nan,nan
-9.978000e+00,nan,nan
-9.976000e+00,nan,nan
-9.974000e+00,nan,nan
-9.972000e+00,nan,nan
-9.970000e+00,nan,nan
-9.968000e+00,nan,nan
-9.966000e+00,nan,nan
-9.964000e+00,nan,nan
-9.962000e+00,nan,nan
-9.960000e+00,nan,nan
-9.958000e+00,nan,nan
-9.956000e+00,nan,nan
-9.954000e+00,nan,nan
-9.952000e+00,nan,nan
-9.950000e+00,nan,nan
-9.948000e+00,nan,nan
-9.946000e+00,nan,nan
-9.944000e+00,nan,nan
-9.942000e+00,nan,nan
-9.940000e+00,nan,nan
-9.938000e+00,nan,nan
-9.936000e+00,nan,nan
-9.934000e+00,nan,nan
-9.932000e+00,nan,nan
-9.930000e+00,nan,nan
-9.928000e+00,nan,nan
-9.926000e+00,nan,nan
-9.924000e+00,nan,nan
-9.922000e+00,nan,nan
-9.920000e+00,nan,nan
-9.918000e+00,nan,nan
-9.916000e+00,nan,nan
-9.914000e+00,nan,nan
-9.912000e+00,nan,nan
-9.910000e+00,nan,nan
-9.908000e+00,nan,nan
-9.906000e+00,nan,nan
-9.904000e+00,nan,nan
-9.902000e+00,nan,nan
-9.900000e+00,nan,nan
-9.898000e+00,nan,nan
-9.896000e+00,nan,nan
-9.894000e+00,nan,nan
-9.892000e+00,nan,nan
-9.890000e+00,nan,nan
-9.888000e+00,nan,nan
-9.886000e+00,nan,nan
-9.884000e+00,nan,nan
-9.882000e+00,nan,nan
-9.880000e+00,nan,nan
-9.878000e+00,nan,nan
-9.876000e+00,nan,nan
-9.874000e+00,nan,nan
-9.872000e+00,nan,nan
-9.870000e+00,nan,nan
-9.868000e+00,nan,nan
-9.866000e+00,nan,nan
-9.864000e+00,nan,nan
-9.862000e+00,nan,nan
-9.860000e+00,nan,nan
-9.858000e+00,nan,nan
-9.856000e+00,nan,nan
-9.854000e+00,nan,nan
-9.852000e+00,nan,nan
-9.850000e+00,nan,nan
-9.848000e+00,nan,nan
-9.846000e+00,nan,nan
-9.844000e+00,nan,nan
-9.842000e+00,nan,nan
-9.840000e+00,nan,nan
-9.838000e+00,nan,nan
-9.836000e+00,nan,nan
-9.834000e+00,nan,nan
-9.832000e+00,nan,nan
-9.830000e+00,nan,nan
-9.828000e+00,nan,nan
-9.826000e+00,nan,nan
-9.824000e+00,nan,nan
-9.822000e+00,nan,nan
-9.820000e+00,nan,nan
-9.818000e+00,nan,nan
-9.816000e+00,nan,nan
-9.814000e+00,nan,nan
